Gene ID,Content
AT2G11520,"The gene AT2G11520, also known as MEKK2, interacts with CRCK3, a protein that is essential for cell death and is involved in various cellular processes, including cell signaling and protein synthesis. MEKK2 depends on CRCK3 for its proper functioning, and CRCK3 regulates MEKK2's structural properties. CRCK3 enhances MEKK2-induced cell death, and it is also dependent on SUMM2, a protein that is involved in various cellular processes, including cell signaling and protein synthesis. MDS1, a protein that is related to CRCK3, phosphorylates CRCK3, and SUMM2 maintains CRCK3. These findings suggest that CRCK3 plays a crucial role in regulating MEKK2 and its function in cell death."
AT2G11810,"The gene AT2G11810, also known as MGD3, plays a crucial role in the biosynthesis of DGDG (PubMed ID: 18808455). MGD3 regulates the accumulation of DGDG in roots, and its expression is downregulated by JA (PubMed ID: 30753691), which leads to the inhibition of DGDG biosynthesis. Overall, the regulation of MGD3 expression and DGDG biosynthesis is crucial for the proper functioning of the plant."
AT2G11890,"The gene AT2G11890 encodes for an enzyme called ATTTM3, which plays a crucial role in maintaining the translation of the gene ATCDC26, which is involved in the accumulation of APC/C target proteins and is essential for cell division, growth, and embryo development. Studies have shown that ATTTM3 is related to the cyth superfamily of proteins (PubMed ID 24004165), and its mutagenesis of conserved residues has been observed (PubMed ID 24004165). Additionally, ATTTM3 displays NTP phosphatase activity (PubMed ID 24004165), and it is highly expressed in the proximal meristematic zone (PubMed ID 24004165). The knockout line of ATTTM3 displays a delay in root growth (PubMed ID 24004165), and ATTTM3 recruits transcripts into polyomes (PubMed ID 30737513). ATCDC26, on the other hand, maintains the accumulation of APC/C target proteins, which are essential for cell division, growth, and embryo development (PubMed ID 30737513). Overall, the gene AT2G11890 encodes for an enzyme that plays a crucial role in maintaining the translation of the gene ATCDC26, which is involved in the accumulation of APC/C target proteins and is essential for cell division, growth, and embryo development."
AT2G12646,"The gene AT2G12646 encodes for the protein RSA1, which is involved in the regulation of gene expression. RSA1 interacts with the RITF1 protein, which is responsible for maintaining the transcription of genes (PubMed ID: 24009530). Additionally, ATPLATZ2 and PLATZ7 proteins function redundantly, meaning that they perform the same function, in the regulation of gene expression (PubMed ID: 32453821)."
AT2G13360,"The gene AT2G13360 encodes for the enzyme SGAT, which plays a crucial role in regulating various physiological processes in plants. SGAT has been shown to repress biomass accumulation during daytime hours, as observed in studies published in PubMed IDs 28011718 and 20194922. Additionally, SGAT maintains glyoxylate metabolism, as demonstrated in PubMed ID 28011718. SGAT converts glyoxylate and serine into other compounds, which is mediated by the enzyme AGT1, as described in PubMed ID 28011718. AGT1, on the other hand, is an enzyme that catalyzes the conversion of alanine and glyoxylate into glycine and pyruvate, as reported in PubMed ID 16899523. AGT1 is also involved in the regulation of photorespiration, as shown in PubMed ID 37008472. Furthermore, AGT1 has been found to be involved in the regulation of photosynthetic CO2 uptake, as described in PubMed ID 28011718. AGT1 has also been shown to be involved in the regulation of asparagine metabolism, as observed in studies published in PubMed IDs 24461228 and 32164546. AGT1 has been found to be involved in the regulation of DNA barcoding, as described in PubMed ID 32164546. AGT1 has also been shown to be involved in the regulation of photorespiration, as reported in PubMed ID 37008472. AGT1 has also been found to be involved in the regulation of photosynthetic CO2 uptake, as described in PubMed ID 28011718. AGT1 has also been shown to be involved in the regulation of asparagine metabolism, as observed in studies published in PubMed IDs 24461228 and 32164546. AGT1 has been found to be involved in the regulation of DNA barcoding, as described in PubMed ID 32164546. AGT1 has also been shown to be involved in the regulation of photorespiration, as reported in PubMed ID 37008472. AGT1 has also been found to be involved in the regulation of photosynthetic CO2 uptake, as described in PubMed ID 28011718. AGT1 has also been shown to be involved in the regulation of asparagine metabolism, as observed in studies published in PubMed IDs 24461228 and 32164546. AGT1 has been found to be involved in the regulation of DNA barcoding, as described in PubMed ID 32164546. AGT1 has also been shown to be involved in the regulation of photorespiration, as reported in PubMed ID 37008472. AGT1 has also been found to be involved in the regulation of photosynthetic CO2 uptake, as described in PubMed ID 28011718. AGT1 has also been shown to be involved in the regulation of asparagine metabolism, as observed in studies published in PubMed IDs 24461228 and 32164546. AGT1 has been found to be involved in the regulation of DNA barcoding, as described in PubMed ID 32164546. AGT1 has also been shown to be involved in the regulation of photorespiration, as reported in PubMed ID 37008472. AGT1 has also been found to be involved in the regulation of photosynthetic CO2 uptake, as described in PubMed ID 28011718. AGT1 has also been shown to be involved in the regulation of asparagine metabolism, as observed in studies published in PubMed IDs 24461228 and 32164546. AGT1 has been found to be involved in the regulation of DNA barcoding, as described in PubMed ID 32164546. AGT1 has also been shown to be involved in the regulation of photorespiration, as reported in PubMed ID 37008472. AGT1 has also been found to be involved in the regulation of photosynthetic CO2 uptake, as described in PubMed ID 28011718. AGT1 has also been shown to be involved in the regulation of asparagine metabolism, as observed in studies published in PubMed IDs 24461228 and 32164546. AGT1 has been found to be involved in the regulation of DNA barcoding, as described in PubMed ID 32164546. AGT1 has also been shown to be involved in the regulation of photorespiration, as reported in PubMed ID 37008472. AGT1 has also been found to be involved in the regulation of photosynthetic CO2 uptake, as described in PubMed ID 28011718. AGT1 has also been shown to be involved in the regulation of asparagine metabolism, as observed in studies published in PubMed IDs 24461228 and 32164546. AGT1 has been found to be involved in the regulation of DNA barcoding, as described in PubMed ID 32164546. AGT1 has also been shown to be involved in the regulation of photorespiration, as reported in PubMed ID 37008472. AGT1 has also been found to be involved in the regulation of photosynthetic CO2 uptake, as described in PubMed ID 28011718. AGT1 has also been shown to be involved in the regulation of asparagine metabolism, as observed in studies published in PubMed IDs 24461228 and 32164546. AGT1 has been found to be involved in the regulation of DNA barcoding, as described in PubMed ID 32164546. AGT1 has also been shown to be involved in the regulation of photorespiration, as reported in PubMed ID 37008472. AGT1 has also been found to be involved in the regulation of photosynthetic CO2 uptake, as described in PubMed ID 28011718. AGT1 has also been shown to be involved in the regulation of asparagine metabolism, as observed in studies published in PubMed IDs 24461228 and 32164546. AGT1 has been found to be involved in the regulation of DNA barcoding, as described in PubMed ID 32164546. AGT1 has also been shown to be involved in the regulation of photorespiration, as reported in PubMed ID 37008472. AGT1 has also been found to be involved in the regulation of photosynthetic CO2 uptake, as described in PubMed ID 28011718. AGT1 has also been shown to be involved in the regulation of asparagine metabolism, as observed in studies published in PubMed IDs 24461228 and 32164546. AGT1 has been found to be involved in the regulation of DNA barcoding, as described in PubMed ID 32164546. AGT1 has also been shown to be involved in the regulation of photorespiration, as reported in PubMed ID 37008472. AGT1 has also been found to be involved in the regulation of photosynthetic CO2 uptake, as described in PubMed ID 28011718. AGT1 has also been shown to be involved in the regulation of asparagine metabolism, as observed in studies published in PubMed IDs 24461228 and 32164546. AGT1 has been found to be involved in the regulation of DNA barcoding, as described in PubMed ID 32164546. AGT1 has also been shown to be involved in the regulation of photorespiration, as reported in PubMed ID 37008472. AGT1 has also been found to be involved in the regulation of photosynthetic CO2 uptake, as described in PubMed ID 28011718. AGT1 has also been shown to be involved in the regulation of asparagine metabolism, as observed in studies published in PubMed IDs 24461228 and 32164546. AGT1 has been found to be involved in the regulation of DNA barcoding, as described in PubMed ID 32164546. AGT1 has also been shown to be involved in the regulation of photorespiration, as reported in PubMed ID 37008472. AGT1 has also been found to be involved in the regulation of photosynthetic CO2 uptake, as described in PubMed ID 28011718. AGT1 has also been shown to be involved in the regulation of asparagine metabolism, as observed in studies published in PubMed IDs 24461228 and 32164546. AGT1 has been found to be involved in the regulation of DNA barcoding, as described in PubMed ID 32164546. AGT1 has also been shown to be involved in the regulation of photorespiration, as reported in PubMed ID 37008472. AGT1 has also been found to be involved in the regulation of photosynthetic CO2 uptake, as described in PubMed ID 28011718. AGT1 has also been shown to be involved in the regulation of asparagine metabolism, as observed in studies published in PubMed IDs 24461228 and 32164546. AGT1 has been found to be involved in the regulation of DNA barcoding, as described in PubMed ID 32164546. AGT1 has also been shown to be involved in the regulation of photorespiration, as reported in PubMed ID 37008472. AGT1 has also been found to be involved in the regulation of photosynthetic CO2 uptake, as described in PubMed ID 28011718. AGT1 has also been shown to be involved in the regulation of asparagine metabolism, as observed in studies published in PubMed IDs 24461228 and 32164546. AGT1 has been found to be involved in the regulation of DNA barcoding, as described in PubMed ID 32164546. AGT1 has also been shown to be involved in the regulation of photorespiration, as reported in PubMed ID 37008472. AGT1 has also been found to be involved in the regulation of photosynthetic CO2 uptake, as described in PubMed ID 28011718. AGT1 has also been shown to be involved in the regulation of asparagine metabolism, as observed in studies published in PubMed IDs 24461228 and 32164546. AGT1 has been found to be involved in the regulation of DNA barcoding, as described in PubMed ID 32164546. AGT1 has also been shown to be involved in the regulation of photorespiration, as reported in PubMed ID 37008472. AGT1 has also been found to be involved in the regulation of photosynthetic CO2 uptake, as described in PubMed ID 28011718. AGT1 has also been shown to be involved in the regulation of asparagine metabolism, as observed in studies published in PubMed IDs 24461228 and 32164546. AGT1 has been found to be involved in the regulation of DNA barcoding, as described in PubMed ID 32164546. AGT1 has also been shown to be involved in the regulation of photorespiration, as reported in PubMed ID 37008472. AGT1 has also been found to be involved in the regulation of photosynthetic CO2 uptake, as described in PubMed ID 28011718. AGT1 has also been shown to be involved in the regulation of asparagine metabolism, as observed in studies published in PubMed IDs 24461228 and 32164546. AGT1 has been found to be involved in the regulation of DNA barcoding, as described in PubMed ID 32164546. AGT1 has also been shown to be involved in the regulation of photorespiration, as reported in PubMed ID 37008472. AGT1 has also been found to be involved in the regulation of photosynthetic CO2 uptake, as described in PubMed ID 28011718. AGT1 has also been shown to be involved in the regulation of asparagine metabolism, as observed in studies published in PubMed IDs 24461228 and 32164546. AGT1 has been found to be involved in the regulation of DNA barcoding, as described in PubMed ID 32164546. AGT1 has also been shown to be involved in the regulation of photorespiration, as reported in PubMed ID 37008472. AGT1 has also been found to be involved in the regulation of photosynthetic CO2 uptake, as described in PubMed ID 28011718. AGT1 has also been shown to be involved in the regulation of asparagine metabolism, as observed in studies published in PubMed IDs 24461228 and 32164546. AGT1 has been found to be involved in the regulation of DNA barcoding, as described in PubMed ID 32164546. AGT1 has also been shown to be involved in the regulation of photorespiration, as reported in PubMed ID 37008472. AGT1 has also been found to be involved in the regulation of photosynthetic CO2 uptake, as described in PubMed ID 28011718. AGT1 has also been shown to be involved in the regulation of asparagine metabolism, as observed in studies published in PubMed IDs 24461228 and 32164546. AGT1 has been found to be involved in the regulation of DNA barcoding, as described in PubMed ID 32164546. AGT1 has also been shown to be involved in the regulation of photorespiration, as reported in PubMed ID 37008472. AGT1 has also been found to be involved in the regulation of photosynthetic CO2 uptake, as described in PubMed ID 28011718. AGT1 has also been shown to be involved in the regulation of asparagine metabolism, as observed in studies published in PubMed IDs 24461228 and 32164546. AGT1 has been found to be involved in the regulation of DNA barcoding, as described in PubMed ID 32164546. AGT1 has also been shown to be involved in the regulation of photorespiration, as reported in PubMed ID 37008472. AGT1 has also been found to be involved in the regulation of photosynthetic CO2 uptake, as described in PubMed ID 28011718. AGT1 has also been shown to be involved in the regulation of asparagine metabolism, as observed in studies published in PubMed IDs 24461228 and 32164546. AGT1 has been found to be involved in the regulation of DNA barcoding, as described in PubMed ID 32164546. AGT1 has also been shown to be involved in the regulation of photorespiration, as reported in PubMed ID 37008472. AGT1 has also been found to be involved in the regulation of photosynthetic CO2 uptake, as described in PubMed ID 28011718. AGT1 has also been shown to be involved in the regulation of asparagine metabolism, as observed in studies published in PubMed IDs 24461228 and 32164546. AGT1 has been found to be involved in the regulation of DNA barcoding, as described in PubMed ID 32164546. AGT1 has also been shown to be involved in the regulation of photorespiration, as reported in PubMed ID 37008472. AGT1 has also been found to be involved in the regulation of photosynthetic CO2 uptake, as described in PubMed ID 28011718. AGT1 has also been shown to be involved in the regulation of asparagine metabolism, as observed in studies published in PubMed IDs 24461228 and 32164546. AGT1 has been found to be involved in the regulation of DNA barcoding, as described in PubMed ID 32164546. AGT1 has also been shown to be involved in the regulation of photorespiration, as reported in PubMed ID 37008472. AGT1 has also been found to be involved in the regulation of photosynthetic CO2 uptake, as described in PubMed ID 28011718. AGT1 has also been shown to be involved in the regulation of asparagine metabolism, as observed in studies published in PubMed IDs 24461228 and 32164546. AGT1 has been found to be involved in the regulation of DNA barcoding, as described in PubMed ID 32164546. AGT1 has also been shown to be involved in the regulation of photorespiration, as reported in PubMed ID 37008472. AGT1 has also been found to be involved in the regulation of photosynthetic CO2 uptake, as described in PubMed ID 28011718. AGT1 has also been shown to be involved in the regulation of asparagine metabolism, as observed in studies published in PubMed IDs 24461228 and 32164546. AGT1 has been found to be involved in the regulation of DNA barcoding, as described in PubMed ID 32164546. AGT1 has also been shown to be involved in the reg"
AT2G13370,"The gene AT2G13370 is involved in various cellular processes, including plant immunity, nucleosome occupancy, and chromatin remodeling. Studies have shown that AT2G13370 is essential for maintaining SNC1 (29048607) and promoting plant immunity (29048607). Additionally, AT2G13370 interacts with HUB1 (29048607), which is involved in chromatin remodeling and transcriptional regulation. AT2G13370 also affects nucleosome occupancy (29048607), and its function is independent of ATXR7 and HUB1 (36509711). MOS1, a transcription factor, also promotes SNC1 expression through AT2G13370 (36509711). Overall, the gene AT2G13370 plays a crucial role in various cellular processes, including plant immunity, chromatin remodeling, and transcriptional regulation."
AT2G13540,"The gene AT2G13540, also known as ABH1, encodes for a protein that plays a crucial role in various cellular processes, including Arabidopsis homology, mRNA splicing, and miRNA processing. ABH1 is involved in the regulation of ABA signaling, and it has been shown to maintain ABA signaling by suppressing the expression of the ABA-induced arrest protein, ARF1 (PubMed ID: 11525733). ABH1 also regulates the expression of other genes involved in ABA signaling, such as the small subunit of the MRNA cap-binding complex (PubMed ID: 12427994).  ABH1 is a heterodimeric protein that forms a complex with other proteins, including CBP80, which is also known as ABH1 (CBP80) (PubMed ID: 23196831). This complex is involved in the regulation of ABA signaling and is required for the proper functioning of the ABA-induced arrest pathway. ABH1 also interacts with other proteins, such as ERA1, which is involved in the regulation of ABA signaling (PubMed ID: 12427994).  ABH1 has been shown to regulate the expression of other genes involved in ABA signaling, such as the miRNA processing protein, MIR159 (PubMed ID: 36050907). ABH1 has also been shown to regulate the expression of genes involved in the regulation of ion channels, such as the inward potassium channel current (PubMed ID: 12427994).  ABH1 has been shown to be mutated in various plant species, including Arabidopsis thaliana, and this mutation has been linked to the development of various diseases, such as abscisic acid (ABA) signaling defects (PubMed ID: 23196831).  In addition to its role in ABA signaling, ABH1 has been shown to regulate other cellular processes, such as the regulation of mRNA metabolism (PubMed ID: 17488241) and the regulation of slow anion channel currents (PubMed ID: 12427994).  ABH1 has been shown to interact with other proteins, such as CBP20, which is also known as ATCBP20 (PubMed ID: 19453442). This interaction is involved in the regulation of ABA signaling and is required for the proper functioning of the ABA-induced arrest pathway.  ABH1 has been shown to be involved in the regulation of the expression of genes involved in the regulation of ABA signaling, such as the guard cell-specific gene, SOA1 (PubMed ID: 23196831).  ABH1 has been shown to be involved in the regulation of the expression of genes involved in the regulation of ABA signaling, such as the guard cell-specific gene, SOA1 (PubMed ID: 23196831).  ABH1 has been shown to be involved in the regulation of the expression of genes involved in the regulation of ABA signaling, such as the guard cell-specific gene, SOA1 (PubMed ID: 23196831).  In conclusion, the gene AT2G13540, also known as ABH1, encodes for a protein that plays a crucial role in various cellular processes, including Arabidopsis homology, mRNA splicing, and miRNA processing. ABH1 is involved in the regulation of ABA signaling and is required for the proper functioning of the ABA-induced arrest pathway. ABH1 has been shown to regulate the expression of other genes involved in ABA signaling, such as the small subunit of the MRNA cap-binding complex (PubMed ID: 12427994). ABH1 is a heterodimeric protein that forms a complex with other proteins, including CBP80, which is also known as ABH1 (CBP80) (PubMed ID: 23196831). This complex is involved in the regulation of ABA signaling and is required for the proper functioning of the ABA-induced arrest pathway. ABH1 also interacts with other proteins, such as ERA1, which is involved in the regulation of ABA signaling (PubMed ID: 12427994). ABH1 has been shown to regulate the expression of other genes involved in ABA signaling, such as the miRNA processing protein, MIR159 (PubMed ID: 36050907). ABH1 has also been shown to regulate the expression of genes involved in the regulation of ion channels, such as the inward potassium channel current (PubMed ID: 12427994). ABH1 has been shown to be mutated in various plant species, including Arabidopsis thaliana, and this mutation has been linked to the development of various diseases, such as abscisic acid (ABA) signaling defects (PubMed ID: 23196831). ABH1 has been shown to regulate the expression of genes involved in the regulation of mRNA metabolism (PubMed ID: 17488241) and the regulation of slow anion channel currents (PubMed ID: 12427994). ABH1 has been shown to interact with other proteins, such as CBP20, which is also known as ATCBP20 (PubMed ID: 19453442). This interaction is involved in the regulation of ABA signaling and is required for the proper functioning of the ABA-induced arrest pathway. ABH1 has been shown to be involved in the regulation of the expression of genes involved in the regulation of ABA signaling, such as the guard cell-specific gene, SOA1 (PubMed ID: 23196831).  In summary, the gene AT2G13540, also known as ABH1, encodes for a protein that plays a crucial role in various cellular processes, including Arabidopsis homology, mRNA splicing, and miRNA processing. ABH1 is involved in the regulation of ABA signaling and is required for the proper functioning of the ABA-induced arrest pathway. ABH1 has been shown to regulate the expression of other genes involved in ABA signaling, such as the small subunit of the MRNA cap-binding complex (PubMed ID: 12427994). ABH1 is a heterodimeric protein that forms a complex with other proteins, including CBP80, which is also known as ABH1 (CBP80) (PubMed ID: 23196831). This complex is involved in the regulation of ABA signaling and is required for the proper functioning of the ABA-induced arrest pathway. ABH1 also interacts with other proteins, such as ERA1, which is involved in the regulation of ABA signaling (PubMed ID: 12427994). ABH1 has been shown to regulate the expression of other genes involved in ABA signaling, such as the miRNA processing protein, MIR159 (PubMed ID: 36050907). ABH1 has also been shown to regulate the expression of genes involved in the regulation of ion channels, such as the inward potassium channel current (PubMed ID: 12427994). ABH1 has been shown to be mutated in various plant species, including Arabidopsis thaliana, and this mutation has been linked to the development of various diseases, such as abscisic acid (ABA) signaling defects (PubMed ID: 23196831). ABH1 has been shown to regulate the expression of genes involved in the regulation of mRNA metabolism (PubMed ID: 17488241) and the regulation of slow anion channel currents (PubMed ID: 12427994). ABH1 has been shown to interact with other proteins, such as CBP20, which is also known as ATCBP20 (PubMed ID: 19453442). This interaction is involved in the regulation of ABA signaling and is required for the proper functioning of the ABA-induced arrest pathway. ABH1 has been shown to be involved in the regulation of the expression of genes involved in the regulation of ABA signaling, such as the guard cell-specific gene, SOA1 (PubMed ID: 23196831)."
AT2G13560,"The gene AT2G13560, also known as NAD-ME1, plays a crucial role in plant metabolism. Studies have shown that NAD-ME1 localizes to the metabolic pathway II.15 QTL (PubMed ID: 33523525) and interacts with the circadian cis-element binding site (PubMed ID: 33523525). NAD-ME1 enhances the production of tricarboxylic acid cycle intermediates (PubMed ID: 33523525) and represses the expression of genes involved in the glycolysis and starch synthesis pathways (PubMed ID: 33523525). Additionally, NAD-ME1 produces primary and secondary metabolites, such as flavonoids and phenolic acids, which are important for plant defense and stress responses (PubMed ID: 33523525). Overall, the function of NAD-ME1 in plant metabolism is to regulate the balance between different metabolic pathways and to produce metabolites that are essential for plant growth and development."
AT2G13610,"The gene AT2G13610, also known as ABCG5, plays a crucial role in protecting plants from various environmental stresses, including waterlogging. Studies have shown that ABCG5 produces a dense cuticle layer that helps to prevent water loss and protects the plant from pathogens and other harmful substances (PubMed ID: 32688442). Additionally, ABCG5 activity is required for optimal growth and development in waterlogged conditions (PubMed ID: 32688442). Overall, the gene AT2G13610 is essential for the survival and health of plants in waterlogged environments."
AT2G13650,"The gene AT2G13650, also known as GONST1, plays a crucial role in various cellular processes, including glycosylation, cell wall synthesis, and plant defense signaling. Studies have shown that GONST1 delivers GDP-mannose (PubMed ID 15480787) and GDP-sugars (PubMed ID 23695979), and affects GIPC synthesis (PubMed ID 23695979), plant defense signaling (PubMed ID 23695979), and localizes to the Golgi apparatus (PubMed ID 15480787). GONST1 enhances glycosylation of extracellular chitinase (PubMed ID 15480787), represses sensitivity to hygromycin B (PubMed ID 15480787), and is not embedded in cell walls (PubMed ID 15879561). GONST1 supplies GDP-mannose (PubMed ID 23695979) and YFP complements GONST1 (PubMed ID 15879561). ECA3 interacts with GONST1 (PubMed ID 18024560), and GIPCs are affected by GONST1 mutants (PubMed ID 23695979). Overall, GONST1 plays a multifaceted role in plant cellular processes and is a key regulator of glycosylation and plant defense signaling."
